employer_code,employer_name,employer_type,industry,city,region,city_tier,base_salary,growth_factor,major_preference_strength,skill_preference_strength,hire_threshold,cross_major_tolerance,salary_elasticity,threshold_relax_speed,tolerance_increase_speed,stability
E0001,Employer_1,cost_sensitive,Internet,City_4,South,0.9477,8.4,0.959,0.5216,0.7535,0.6311,0.641,0.0411,0.0274,0.0401,0.6306
E0002,Employer_2,growth_firm,Finance,City_12,West,0.7863,13.8,1.1317,0.721,0.856,0.705,0.6767,0.0842,0.0508,0.0278,0.4677
E0003,Employer_3,growth_firm,Healthcare,City_17,West,0.7121,22.23,1.3658,0.6495,0.781,0.6879,0.5876,0.0786,0.0324,0.0349,0.4822
E0004,Employer_4,growth_firm,Education,City_5,South,0.5981,22.28,1.2643,0.6899,0.7592,0.6106,0.4029,0.1174,0.0289,0.0349,0.3657
E0005,Employer_5,tech_strict,Healthcare,City_14,Central,0.8184,22.84,1.1764,0.9316,0.9351,0.7138,0.2012,0.0712,0.0124,0.021,0.5237
E0006,Employer_6,tech_strict,Finance,City_14,North,0.8387,15.1,1.1474,0.9377,0.931,0.825,0.4395,0.0433,0.0364,0.0259,0.6339
E0007,Employer_7,traditional_firm,Education,City_3,South,0.871,17.51,0.9971,0.8521,0.6543,0.5769,0.4576,0.0219,0.0368,0.0317,0.7567
E0008,Employer_8,growth_firm,Finance,City_15,South,0.4315,15.86,1.2249,0.7885,0.815,0.6001,0.4557,0.1051,0.0415,0.035,0.3535
E0009,Employer_9,growth_firm,Finance,City_17,West,0.8037,21.61,1.4764,0.7222,0.8227,0.587,0.5196,0.0817,0.0453,0.0404,0.473
E0010,Employer_10,tech_strict,Internet,City_2,North,0.64,26.25,1.2263,0.8132,0.89,0.8246,0.3468,0.0652,0.0387,0.029,0.5851
E0011,Employer_11,growth_firm,Construction,City_2,North,0.8468,19.15,1.2994,0.7608,0.8872,0.7466,0.4472,0.0779,0.0348,0.0349,0.541
E0012,Employer_12,growth_firm,Finance,City_7,North,0.8551,21.25,1.2043,0.7972,0.8686,0.7006,0.6343,0.114,0.0497,0.0484,0.4666
E0013,Employer_13,growth_firm,Internet,City_2,Central,0.8396,23.14,1.1668,0.788,0.7549,0.6354,0.5985,0.0704,0.0532,0.0287,0.5778
E0014,Employer_14,cost_sensitive,Education,City_8,Central,0.7054,8.69,0.9682,0.6611,0.6409,0.5133,0.8062,0.0253,0.0391,0.0331,0.6842
E0015,Employer_15,tech_strict,Manufacturing,City_16,West,0.6889,25.54,1.1297,0.9117,0.8619,0.7592,0.4232,0.0784,0.0365,0.0372,0.5758
E0016,Employer_16,tech_strict,Education,City_2,South,0.613,18.92,1.1516,0.9285,0.9189,0.8249,0.2349,0.0552,0.0205,0.0245,0.5794
E0017,Employer_17,growth_firm,Finance,City_9,Central,0.9328,13.16,1.4683,0.7191,0.786,0.6189,0.4247,0.0863,0.0388,0.0512,0.3848
